# PB-SEC-8 -- the dependency inventory. "No analytics/telemetry SDKs; dependencies minimal
# and justified."
#
# EVERY MODULE THE BUILD RESOLVES, not the three the build file declares. The set is derived
# from android/gradle/verification-metadata.xml (PB-SEC-14's artifact), which enumerates what
# ACTUALLY resolves with a checksum for each -- so a transitive pull is as visible here as a
# declared one. An inventory read off `implementation` lines would report a clean bill of
# health for an app that ships the Google Play Services client stack.
#
# Regenerate after any dependency change, from android/:
#     ./gradlew :app:dependencies --write-locks
#     ./gradlew --write-verification-metadata sha256 :app:dependencies
# then rebuild this table and REVIEW THE DIFF. A new row is a new thing in the app.
#
# THREE CLASSES OF ROW, and the difference matters to a reviewer:
#   ships in the APK        -- on releaseRuntimeClasspath; runs on the user's handset.
#   test classpath only     -- on no variant runtime classpath; never packaged.
#   build classpath only    -- resolved to configure the build; runs on the build host, with
#                              full privileges on the machine that signs the release, which is
#                              why it is checksum-verified all the same.
#
# NO ANALYTICS, TELEMETRY, ATTRIBUTION OR CRASH-REPORTING MODULE IS PRESENT in any of the
# three. That is asserted, not claimed: android/gate/s18_sec8_depinventory_test.go matches a
# denylist against this same resolved closure. The absence of a crash reporter is deliberate
# and is recorded again in android/app/build.gradle.kts, because a reader who does not find it
# stated will eventually add one to "fix" the gap.
#
# Columns: module <TAB> why <TAB> requirement
androidx.activity:activity	Ships in the APK. Pulled in transitively by androidx.appcompat:appcompat; no source in this module names it directly.	PB-SEC-8
androidx.annotation:annotation	Ships in the APK. Pulled in transitively by androidx.appcompat:appcompat, com.google.firebase:firebase-messaging; no source in this module names it directly.	PB-SEC-8
androidx.annotation:annotation-experimental	Ships in the APK. Pulled in transitively by androidx.appcompat:appcompat; no source in this module names it directly.	PB-SEC-8
androidx.annotation:annotation-jvm	Ships in the APK. Pulled in transitively by androidx.appcompat:appcompat; no source in this module names it directly.	PB-SEC-8
androidx.appcompat:appcompat	The AppCompat UI toolkit. It is what PhoneActivity extends and what Theme.Swarm inherits, and AppCompatDelegate is the third route into the system uiMode that SwarmTheme pins before any window exists.	PB-SEC-4,PB-TOK-4,PB-APP-1
androidx.appcompat:appcompat-resources	Ships in the APK. Pulled in transitively by androidx.appcompat:appcompat; no source in this module names it directly.	PB-SEC-8
androidx.arch.core:core-common	Ships in the APK. Pulled in transitively by androidx.appcompat:appcompat; no source in this module names it directly.	PB-SEC-8
androidx.arch.core:core-runtime	Ships in the APK. Pulled in transitively by androidx.appcompat:appcompat; no source in this module names it directly.	PB-SEC-8
androidx.camera:camera-camera2	Ships in the APK. CameraX's Camera2 implementation -- the frame source there is otherwise no provider for, so camera-core alone binds nothing.	PB-PAIR-3
androidx.camera:camera-core	Ships in the APK. CameraX's ImageAnalysis, which hands the scanner each YUV frame for ZXing to decode. A first-party AndroidX artifact from the repository this module already trusts for appcompat, so it widens the trust set by a library rather than by a vendor (ADR-007 B21).	PB-PAIR-3
androidx.camera:camera-lifecycle	Ships in the APK. Binds the camera use cases to the Activity's lifecycle, which is what releases the camera when the pairing screen stops rather than leaving the camera light on a handset its owner may not be holding.	PB-PAIR-3
androidx.camera:camera-video	Ships in the APK. Pulled in transitively by androidx.camera:camera-view, whose CameraController references VideoCapture; no source in this module names it and nothing in the app records anything. It is the one non-minimal item this scanner costs: it can be excluded while only PreviewView is used, which is a landmine for whoever later reaches for CameraController, so it is carried and recorded instead.	PB-SEC-8
androidx.camera:camera-view	Ships in the APK. PreviewView, the viewfinder the user aims at the machine's screen. ZXing has no auto-zoom, so aiming is the user's job and a scanner with no preview cannot be aimed.	PB-PAIR-3
androidx.collection:collection	Ships in the APK. Pulled in transitively by androidx.appcompat:appcompat, com.google.firebase:firebase-messaging; no source in this module names it directly.	PB-SEC-8
androidx.concurrent:concurrent-futures	Ships in the APK. Pulled in transitively by androidx.appcompat:appcompat, com.google.firebase:firebase-messaging; no source in this module names it directly.	PB-SEC-8
androidx.concurrent:concurrent-futures-ktx	Test classpath only (the junit, Robolectric and androidx.test closure). It is on no runtime classpath of any variant, so it is never packaged into the APK.	PB-TOOL-6
androidx.core:core	Ships in the APK. Pulled in transitively by androidx.appcompat:appcompat, com.google.firebase:firebase-messaging, and NAMED DIRECTLY since agents-tracker-2yfn: NotificationManagerCompat.areNotificationsEnabled is how SettingsSurface asks whether the framework will show a wake at all, which is the half of PB-RUN-2 the POST_NOTIFICATIONS check cannot see.	PB-SEC-8,PB-RUN-2
androidx.core:core-ktx	Ships in the APK. Pulled in transitively by androidx.appcompat:appcompat; no source in this module names it directly.	PB-SEC-8
