# PB-SEC-3 log-sink inventory. GENERATED by `go test ./android/gate/ -run TestPBSEC3 -update-logscan`.
# Every logging call site on the PHONE-SIDE path (the Kotlin app, the bound facade,
# the phone core). The daemon, the relay server and the TUI are deliberately out of
# scope: they log at length and they do not run on the handset.
# Columns: area <TAB> file:line <TAB> the call <TAB> the reviewer's note on the file
# The note is not decoration: a sink in a file with no note fails the artifact test,
# in -update mode too, so a new call site cannot be regenerated into a green.
kotlin-app	android/app/src/main/kotlin/dev/swarm/phone/push/PushTokens.kt:92	Log.w(TAG, "push token fetch failed; this launch registered no token and the " + "phone will not receive background wakes until the next one", e)	PB-PUSH-5's graceful-and-loud degradation, both arms: static prose plus the caught Throwable. No token value is in scope on either path -- getInstance() threw because this build configures no Firebase project, or the asynchronous fetch failed and produced none.
kotlin-app	android/app/src/main/kotlin/dev/swarm/phone/push/PushTokens.kt:97	Log.w(TAG, "push unavailable: no Firebase project is configured for this build; " + "the phone works without push and will not receive background wakes", e)	PB-PUSH-5's graceful-and-loud degradation, both arms: static prose plus the caught Throwable. No token value is in scope on either path -- getInstance() threw because this build configures no Firebase project, or the asynchronous fetch failed and produced none.
kotlin-app	android/app/src/main/kotlin/dev/swarm/phone/push/PushTokens.kt:154	Log.w(TAG, "push gateway registration failed; this phone holds no gateway " + "installation and will not receive background wakes until a later attempt " + "succeeds", refused)	R3's THIRD arm of the same graceful-and-loud degradation, reviewed on its own because it is a different failure with a different scope (the per-call keying's whole point): static prose plus the caught Throwable from the push GATEWAY registration. What reaches it is one of three states, and none of them puts a secret on this line -- no gateway configured for this build, no attestation provider configured, or a gateway that refused. The token is a PARAMETER of the enclosing function and is deliberately not interpolated; the facade's error messages are static prose with an error class token, and PG-ERR-2 forbids the gateway's own bodies from carrying a token, capability, envelope, signature or attestation token, so the flattened cause carries none either. What it distinguishes is a phone that will not receive background wakes from one that will, which is invisible on both sides otherwise.
kotlin-app	android/app/src/main/kotlin/dev/swarm/phone/push/SwarmMessagingService.kt:110	Log.w(TAG, "wake refused; durable drop counters total=${counts.getTotal()} " + "peer_clock_ahead=${counts.getPeerClockAhead()} " + "unauthenticated=${counts.getUnauthenticated()} replay=${counts.getReplay()} " + "expired=${counts.getExpired()} no_key=${counts.getNoKey()} " + "revoked=${counts.getRevoked()} malformed=${counts.getMalformed()}")	EIGHT COUNTERS AND NOTHING ELSE, on the drop path of the FCM receipt. Every interpolated value is a monotonic uint64 the Go core keeps in its sealed push container; the wake PAYLOAD, its push address, its wake key, its sequence number and its issued_at are none of them in scope at this line -- the verdict reached Kotlin as a sealed object carrying no fields at all (WakeVerdict.Dropped), and the counters are read back through a bound accessor that returns only these integers. WHY IT EXISTS: a machine whose clock runs ahead has 100% of its wakes correctly refused forever (it re-sends the SAME sealed bytes on every retry, PG-WAKE-12), and against a bare total that is indistinguishable from somebody forging wakes -- opposite remedies, and no other surface reaches an operator from a process that wakes, refuses and dies. What a reader of the buffer learns is HOW MANY wakes this phone refused and in which category, which is a fact about this handset's health and not about any session, machine or pairing.
kotlin-app	android/app/src/main/kotlin/dev/swarm/phone/push/WakeReceiptPolicy.kt:74	Log.w(TAG, "wake verdict handling failed; nothing rendered", t)	The total-and-quiet backstop of R3's verdict policy: static prose plus the caught Throwable, on the one path where rendering the accepted wake's generic notification itself failed. No wake payload, key, address or verdict detail is in scope at this line -- the verdict arrived as a sealed Kotlin type carrying only the core's constant text and a boolean, and the exception is the notification framework's own. What it distinguishes, in a process with no user present, is a wake that was refused (renders nothing by design, no log) from a wake that was accepted and could not be shown.
kotlin-app	android/app/src/main/kotlin/dev/swarm/phone/scan/QrScanner.kt:159	Log.i( TAG, "analysis ${image.width}x${image.height} stride=${plane.rowStride} " + "rotation=${image.imageInfo.rotationDegrees}", )	The GEOMETRY CameraX granted, once per scan: the analysis buffer's width, height, row stride and rotation. Four integers describing the frame's shape and nothing in it -- the pixels are never in scope on this line, and it runs before any decode. It exists because 'CameraX granted a size nobody asked for' is one of the live explanations for a scanner that never locks on (agents-tracker-av7k) and is the only one a single log line settles.
kotlin-app	android/app/src/main/kotlin/dev/swarm/phone/scan/QrScanner.kt:178	Log.i( TAG, "$framesAnalysed frames, $decodeAttempts decode attempts, " + "${SystemClock.elapsedRealtime() - startedAtMillis} ms", )	Three running totals every fifty frames: frames delivered, ZXing decodes attempted, milliseconds elapsed. Counters and a clock; no frame data and no decode result is in scope. What it distinguishes is a pipeline delivering nothing from one delivering frames that hold no readable symbol, which is the same observation to the person holding the phone.
kotlin-app	android/app/src/main/kotlin/dev/swarm/phone/scan/QrScanner.kt:194	Log.i( TAG, "decoded on attempt ${decoder.decodedOnAttempt} at frame $framesAnalysed", )	TWO SMALL INTEGERS ON THE ONE PATH WHERE THE PAYLOAD EXISTS, and the payload is deliberately not among them: `decodedOnAttempt` is 1 for a normal frame and 2 for an inverted one, and the frame ordinal is a count. The decoded string is a pairing secret and is in scope three lines away, which is why this line names the attempt rather than the result -- polarity is the fact the investigation needs and the payload is the one it must never write down.
kotlin-app	android/app/src/main/kotlin/dev/swarm/phone/scan/QrScanner.kt:285	Log.w(TAG, "no analysis frame was written: this frame's geometry describes no image")	Static prose on the refusal path of the debug frame dump: the stride/width guard rejected the geometry, so no file was written. Nothing is interpolated at all. It is loud rather than silent because a dump that appears to work and writes nothing sends someone looking for a file that never existed.
kotlin-app	android/app/src/main/kotlin/dev/swarm/phone/scan/QrScanner.kt:292	Log.i(TAG, "wrote one analysis frame to ${file.absolutePath}")	The absolute path of the dumped frame, and the path is the point: it is how the owner finds the file on the handset (agents-tracker-av7k). It names a directory and a millisecond timestamp under this app's own external files directory. The frame CONTENTS are not in scope on this line -- they went to the file, whose exposure is argued in res/xml/data_extraction_rules.xml, which excludes domain="external" from both extraction paths for this reason.
